categoria_ruralidad_2024,cod_natujur,count_a,count_de,departamento,dinamica_2024,divipola,documento_justificativo,estado_folio,fecha_apertura_texto,fecha_radica_texto,matricula,municipio,nombre_natujur,num_anotacion,orip,pk,predios_nuevos,tiene_mas_de_un_valor,tiene_valor,tipo_predio_zona,valor,year_radica
Ciudades y aglomeraciones,313,5,1,BOGOTÁ D.C.,0,11001,01-ESCRITURA 223 DE 22-02-2021; NOTARIA UNICA DE MOSQUERA,,1972-03-22 00:00:00,2021-03-04 00:00:00,50C-1617,BOGOTÁ D.C.,CONSTITUCIÓN DE FIDEICOMISO CIVIL,17,50C,11001-50C-001617-00017-00313-2021,0,0,0,URBANO,,2021
Ciudades y aglomeraciones,843,1,1,BOGOTÁ D.C.,0,11001,01-ESCRITURA 2176 DE 14-12-2022; NOTARIA SETENTA Y CINCO DE BOGOTA D.C.,,1972-01-21 00:00:00,2023-05-30 00:00:00,50C-1620,BOGOTÁ D.C.,CANCELACIÓN POR VOLUNTAD DE LAS PARTES,27,50C,11001-50C-001620-00027-00843-2023,0,0,0,URBANO,,2023
Ciudades y aglomeraciones,125,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 2176 DE 14-12-2022; NOTARIA SETENTA Y CINCO DE BOGOTA D.C.,,1972-01-21 00:00:00,2023-05-30 00:00:00,50C-1620,BOGOTÁ D.C.,COMPRAVENTA,28,50C,11001-50C-001620-00028-00125-2023,0,0,1,URBANO,200000000,2023
Ciudades y aglomeraciones,219,2,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 3485 DE 05-07-2023; NOTARIA SETENTA Y TRES DE BOGOTA D.C.,,1972-01-21 00:00:00,2023-07-14 00:00:00,50C-1620,BOGOTÁ D.C.,HIPOTECA ABIERTA SIN LIMITE DE CUANTIA,29,50C,11001-50C-001620-00029-00219-2023,0,0,0,URBANO,,2023
Ciudades y aglomeraciones,843,2,1,BOGOTÁ D.C.,0,11001,02-CERTIFICADO 10642 DE 16-09-2020; NOTARIA VEINTINUEVE DE BOGOTA D.C.,,1972-01-28 00:00:00,2020-10-06 00:00:00,50C-1627,BOGOTÁ D.C.,CANCELACIÓN POR VOLUNTAD DE LAS PARTES,23,50C,11001-50C-001627-00023-00843-2020,0,0,0,URBANO,,2020
Ciudades y aglomeraciones,125,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 3344 DE 12-07-2018; NOTARIA TRECE DE BOGOTA D. C.,,1972-02-10 00:00:00,2019-01-04 00:00:00,50C-1631,BOGOTÁ D.C.,COMPRAVENTA,18,50C,11001-50C-001631-00018-00125-2019,0,0,0,URBANO,,2019
Ciudades y aglomeraciones,843,1,0,BOGOTÁ D.C.,0,11001,01-ESCRITURA 3943 DE 22-12-2020; NOTARIA SEGUNDA DE VILLAVICENCIO,,1972-02-10 00:00:00,2021-03-16 00:00:00,50C-1638,BOGOTÁ D.C.,CANCELACIÓN POR VOLUNTAD DE LAS PARTES,16,50C,11001-50C-001638-00016-00843-2021,0,0,0,URBANO,,2021
Ciudades y aglomeraciones,109,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 1111 DE 08-05-2020; NOTARIA SEGUNDA DE VILLAVICENCIO,,1972-02-10 00:00:00,2021-03-16 00:00:00,50C-1638,BOGOTÁ D.C.,ADJUDICACIÓN EN SUCESION,17,50C,11001-50C-001638-00017-00109-2021,0,0,0,URBANO,,2021
Ciudades y aglomeraciones,843,1,2,BOGOTÁ D.C.,0,11001,01-ESCRITURA 5770 DE 12-08-2019; NOTARIA TREINTA Y OCHO DE BOGOTA D. C.,,1972-02-10 00:00:00,2019-09-13 00:00:00,50C-1639,BOGOTÁ D.C.,CANCELACIÓN POR VOLUNTAD DE LAS PARTES,19,50C,11001-50C-001639-00019-00843-2019,0,0,0,URBANO,,2019
Ciudades y aglomeraciones,308,2,2,BOGOTÁ D.C.,1,11001,01-ESCRITURA 5770 DE 12-08-2019; NOTARIA TREINTA Y OCHO DE BOGOTA D. C.,,1972-02-10 00:00:00,2019-09-13 00:00:00,50C-1639,BOGOTÁ D.C.,COMPRAVENTA NUDA PROPIEDAD,20,50C,11001-50C-001639-00020-00308-2019,0,0,0,URBANO,,2019
